"","alpha_1","alpha_2","beta_1","beta_2","mu","sigma","gamma","step","time"
"17967",34.2908390543989,10.4904433616689,0.00211539118217424,3.26749728738892,387.059210635318,0.00616501070178083,0.391461541633363,60,30498.708
"17968",34.2908390543989,10.4904433616689,0.00211539118217424,3.26749728738892,387.059210635318,0.00616501070178083,0.391461541633363,60,30498.708
"17969",40.5941337962622,1.52063673584187,0.000231750439565978,0.41895283780126,283.05451240049,0.0032439021746622,0.369919316983622,60,30498.708
"17970",35.941665138543,13.2589088592281,0.00255285788862105,2.04090860488246,359.170599917607,0.000842605495225906,0.183930886366695,60,30498.708
"17971",35.941665138543,13.2589088592281,0.00255285788862105,2.04090860488246,359.170599917607,0.000842605495225906,0.183930886366695,60,30498.708
"17972",38.6249965776037,31.4674295382097,0.0042985972434299,1.50543994342209,313.4104799821,0.00500324567754956,0.393908481943175,60,30498.708
"17973",38.0228740795229,41.8887994382892,0.00245549049000463,3.84145834835277,324.575144270801,0.0037890789376152,0.338464602070616,60,30498.708
"17974",38.0228740795229,41.8887994382892,0.00245549049000463,3.84145834835277,324.575144270801,0.0037890789376152,0.338464602070616,60,30498.708
"17975",38.0228740795229,41.8887994382892,0.00245549049000463,3.84145834835277,324.575144270801,0.0037890789376152,0.338464602070616,60,30498.708
"17976",41.2069951177295,27.7917875431277,0.00186981641784092,2.17009750262532,271.588408904856,0.00391043337333301,0.360669699782165,60,30498.708
"17977",36.7229239752681,29.7063249666812,0.00530178488890613,1.26524267870601,344.541100560442,0.00284983541206704,0.350017766253354,60,30498.708
"17978",36.7229239752681,29.7063249666812,0.00530178488890613,1.26524267870601,344.541100560442,0.00284983541206704,0.350017766253354,60,30498.708
"17979",36.7229239752681,29.7063249666812,0.00530178488890613,1.26524267870601,344.541100560442,0.00284983541206704,0.350017766253354,60,30498.708
"17980",35.3232357516495,25.0800138230656,0.00415893789906723,3.78287722026571,368.585850350446,0.0011178539069958,0.256888858581497,60,30498.708
"17981",33.3088599015712,32.8065434988721,0.00416401120407637,3.61352391736333,402.363045659985,0.000445077420181311,0.257171760377981,60,30498.708
"17982",33.5264068383862,11.3479799750292,0.00428931232192409,3.37890721126772,398.543595090756,0.00075826318067796,0.206018100082391,60,30498.708
"17983",38.0296685947385,20.4009448339941,0.00242929707278039,3.11039980523376,324.343709667365,0.00119596421690271,0.293143868456713,60,30498.708
