"","A","B","g","k","step","time"
"18538",3.23471752364051,0.31792355438611,0.103696061845204,1.96749520930854,38,114.524999999994
"18539",3.23471752364051,0.31792355438611,0.103696061845204,1.96749520930854,38,114.524999999994
"18540",3.39648521909618,0.373405570396579,0.183865096099003,1.7938877598742,38,114.524999999994
"18541",3.39648521909618,0.373405570396579,0.183865096099003,1.7938877598742,38,114.524999999994
"18542",3.39648521909618,0.373405570396579,0.183865096099003,1.7938877598742,38,114.524999999994
"18543",3.27530181800739,0.465723455448339,0.104084424103896,1.70183430414758,38,114.524999999994
"18544",3.35048548080898,0.348259587803849,0.383286818861968,1.87432468942684,38,114.524999999994
"18545",3.35048548080898,0.348259587803849,0.383286818861968,1.87432468942684,38,114.524999999994
"18546",3.26523568332142,0.428323427050471,0.175266448766408,1.89512304245518,38,114.524999999994
"18547",3.06519896142343,0.440582698789741,0.296074453160714,1.68727481953398,38,114.524999999994
"18548",3.19934054086538,0.427120470482619,0.262424127592161,1.84165253029363,38,114.524999999994
"18549",3.20768724027189,0.504464577420231,0.297522852209579,1.64040224406514,38,114.524999999994
"18550",2.93498553135879,0.492842068013153,0.319912456128007,1.73045228885088,38,114.524999999994
"18551",3.15057771919896,0.568070154505972,0.2433085335817,1.67215127626497,38,114.524999999994
"18552",3.10753601483805,0.471730625114268,0.409142096976867,1.72324364584344,38,114.524999999994
"18553",3.13927197320906,0.312858013454019,0.0706573588665844,2.05836839693079,38,114.524999999994
"18554",3.28501608756343,0.43569084428488,0.135178345744941,1.82892980576305,38,114.524999999994
"18555",3.05324512721117,0.501763308321243,0.212410901954642,1.75641531322696,38,114.524999999994
"18556",3.23822194750958,0.297229026145887,0.14650896559499,2.08364664439657,38,114.524999999994
"18557",3.22305477110263,0.336358934937857,0.379433601730801,1.93763772439521,38,114.524999999994
"18558",3.0788899328721,0.565347098488903,0.195259829195019,1.61213424874407,38,114.524999999994
"18559",3.14344915669665,0.569097363819258,0.22848739114823,1.66295215676253,38,114.524999999994
"18560",3.32924418396499,0.309402037025783,0.251685738729622,1.99011689114282,38,114.524999999994
"18561",3.13253579681592,0.424852412912597,0.29568303632743,1.75795066289868,38,114.524999999994
"18562",3.17064643569307,0.491824793836934,0.375559750989892,1.74051409785043,38,114.524999999994
"18563",3.17064643569307,0.491824793836934,0.375559750989892,1.74051409785043,38,114.524999999994
"18564",3.27677378997516,0.385568969840768,0.0449677779830975,1.84010180285338,38,114.524999999994
"18565",3.32572941529301,0.386621629811754,0.0944639449338883,1.93840421212763,38,114.524999999994
"18566",3.32572941529301,0.386621629811754,0.0944639449338883,1.93840421212763,38,114.524999999994
"18567",3.29550848060504,0.508444306076925,0.0806041249650788,1.73414111259969,38,114.524999999994
"18568",3.12514677752568,0.347450557685995,0.181172125114831,1.96472942626863,38,114.524999999994
"18569",3.32572941529301,0.386621629811754,0.0944639449338883,1.93840421212763,38,114.524999999994
"18570",3.14493018261666,0.407960740247404,0.0211094647310167,1.83695326972618,38,114.524999999994
"18571",3.14493018261666,0.407960740247404,0.0211094647310167,1.83695326972618,38,114.524999999994
"18572",3.1811450171513,0.468777012255787,0.0718769894564927,1.80733003924156,38,114.524999999994
"18573",3.1811450171513,0.468777012255787,0.0718769894564927,1.80733003924156,38,114.524999999994
"18574",3.16525677154058,0.490343192413543,0.263078441035052,1.65828201775409,38,114.524999999994
"18575",3.21596609999053,0.555137130106405,0.170696333808831,1.63912722935606,38,114.524999999994
"18576",3.17087891927037,0.498299109517147,0.277544306400025,1.82216876024338,38,114.524999999994
"18577",3.07196352827149,0.533351435140959,0.145714403647642,1.67839487912511,38,114.524999999994
"18578",3.15659364771082,0.227781983173369,0.100574110124125,2.13422316089228,38,114.524999999994
"18579",2.9953830394229,0.320255790355334,0.21103142980633,1.89803621124481,38,114.524999999994
"18580",3.21487315369392,0.352806506205165,0.194210727396019,1.96262350417213,38,114.524999999994
"18581",3.21466687251416,0.555180175625488,0.114320071653888,1.56138882879865,38,114.524999999994
"18582",3.21466687251416,0.555180175625488,0.114320071653888,1.56138882879865,38,114.524999999994
"18583",3.00644707078235,0.405583154612403,0.287436223800381,1.6789126558315,38,114.524999999994
"18584",3.29236267106663,0.408478337771905,0.143759784655595,1.76906561827882,38,114.524999999994
"18585",3.15397322769386,0.566356332401331,0.172486557887425,1.62064554820838,38,114.524999999994
"18586",3.35485174776267,0.338244878723793,0.36137354327154,1.8703711711567,38,114.524999999994
"18587",3.08901158377158,0.393854045418285,0.160539536623383,1.89444616306131,38,114.524999999994
"18588",3.1977819931695,0.430548982421012,0.109361860234475,1.74580852483527,38,114.524999999994
"18589",3.07052558527567,0.515373762391865,0.184787398327694,1.71654726137731,38,114.524999999994
"18590",3.26935722773105,0.56226544626199,0.227025120370796,1.68278569787223,38,114.524999999994
"18591",3.26935722773105,0.56226544626199,0.227025120370796,1.68278569787223,38,114.524999999994
"18592",3.24665067046732,0.360975276171594,0.130391396370589,1.97824868091611,38,114.524999999994
"18593",3.26326571251222,0.436893767093633,0.208726852052386,1.78147629678005,38,114.524999999994
"18594",3.02851036390296,0.332571609627492,0.262316293848576,1.98229918863766,38,114.524999999994
"18595",3.1641821568549,0.512338552993368,0.23091011467164,1.66011301467174,38,114.524999999994
"18596",3.10922515190386,0.438060408180388,0.234004835213087,1.76800525440733,38,114.524999999994
"18597",3.29974946886138,0.470964204620326,0.149959654876278,1.71147036548779,38,114.524999999994
"18598",3.1304031958661,0.516400524989595,0.0910514136838937,1.69411523840355,38,114.524999999994
"18599",3.17418838857481,0.409740865198679,0.181382527327366,1.74480530377187,38,114.524999999994
"18600",3.23315517236311,0.518279936001076,0.17581114290395,1.68436972339065,38,114.524999999994
"18601",3.13605228082955,0.506026798106813,0.308349836422569,1.66858379188529,38,114.524999999994
"18602",3.21112130517784,0.370282365514769,0.358481851899339,1.89447818043616,38,114.524999999994
"18603",3.21112130517784,0.370282365514769,0.358481851899339,1.89447818043616,38,114.524999999994
"18604",3.02980516564835,0.478822219428835,0.178517542392855,1.72686726344181,38,114.524999999994
"18605",2.96388299976494,0.383044360417385,0.422804152880776,1.95813647886192,38,114.524999999994
"18606",3.06832769427828,0.49949993296454,0.00700344513186302,1.70165246741576,38,114.524999999994
"18607",3.01090044986238,0.510362609132581,0.215941640746846,1.63595600669432,38,114.524999999994
"18608",3.01090044986238,0.510362609132581,0.215941640746846,1.63595600669432,38,114.524999999994
"18609",3.33313124543416,0.327086549448003,0.165099609730677,1.93422276491422,38,114.524999999994
"18610",3.04142039904,0.562322780592434,0.0942690542912585,1.58115116247079,38,114.524999999994
"18611",3.29111957466725,0.601523114380331,0.221864259502029,1.57140023508675,38,114.524999999994
"18612",3.08992734521696,0.564925441598577,0.378411406975769,1.53937634106866,38,114.524999999994
"18613",3.15169508976161,0.426771519229176,0.197306293355728,1.76007954698903,38,114.524999999994
"18614",3.2331256379581,0.47564208080332,0.122720623916239,1.7444983360738,38,114.524999999994
"18615",3.1731449086071,0.610208407222929,0.150947328057077,1.52905848436926,38,114.524999999994
"18616",3.06880154296548,0.373740503264887,0.190501457538358,1.76301654007462,38,114.524999999994
